Nap,Tmax
      [°C],Tmin
    [°C],Szél
	[m/s],Csapadék
	[mm]
2021.04.01csütörtök,20.2,12,3.6,9.2

2021.04.02péntek,15.1,10.4,7.5,0.4

2021.04.03szombat,11.9,5,7.4,4.5

2021.04.04vasárnap,11.7,4.6,3.3,0.2

2021.04.05hétfő,14.1,5,6.4,0

2021.04.06kedd,6.9,1.1,7,3.3

2021.04.07szerda,7.2,1,7.6,0.3

2021.04.08csütörtök,7.6,0.8,7.2,1.4

2021.04.09péntek,13.5,2.6,5.8,0

2021.04.10szombat,15.7,6.1,6.2,0

2021.04.11vasárnap,16.6,7.9,5.5,0

2021.04.12hétfő,19.3,9.9,5.8,0.6

2021.04.13kedd,6.1,3.7,4.5,20.8

2021.04.14szerda,6.3,2.9,4,6.9

2021.04.15csütörtök,9.5,2.8,6.4,0

2021.04.16péntek,8,2,4.5,0

2021.04.17szombat,12.6,3.3,3.1,0

2021.04.18vasárnap,10.5,7.5,2.4,2.9

2021.04.19hétfő,11.4,6.7,2.8,4.9

2021.04.20kedd,13.7,5.4,3,0

2021.04.21szerda,17.5,7.2,4.6,0.1

2021.04.22csütörtök,17.1,8.5,7.1,2.6

2021.04.23péntek,13.9,6.5,5.7,0

2021.04.24szombat,15.7,6.2,3.4,0

2021.04.25vasárnap,15.3,9.1,5.5,0.5

2021.04.26hétfő,14.1,6.8,3.1,0

2021.04.27kedd,12.6,6.3,5,0.2

2021.04.28szerda,13.9,6.7,3.5,0

2021.04.29csütörtök,18.7,10.5,4.2,2.2

2021.04.30péntek,18.9,11.1,3.4,0.3
