Nap,Tmax
      [°C],Tmin
    [°C],Szél
	[m/s],Csapadék
	[mm]
2021.06.01kedd,18.2,9.3,4.2,0.1

2021.06.02szerda,22.6,11.4,1.8,0

2021.06.03csütörtök,23.4,14.5,3.1,0

2021.06.04péntek,24.7,16.1,1.9,0

2021.06.05szombat,26.1,16.8,3.9,0

2021.06.06vasárnap,24.2,15.1,2.5,2.5

2021.06.07hétfő,25.5,16.7,3.1,0.3

2021.06.08kedd,26,18.9,2.4,0.3

2021.06.09szerda,26.6,18.1,2.9,1

2021.06.10csütörtök,25.6,17.2,1.7,2.8

2021.06.11péntek,24.5,15.7,2.8,0

2021.06.12szombat,27,16.4,4.2,0

2021.06.13vasárnap,21.9,14.9,8.1,0

2021.06.14hétfő,21.6,11.1,3.2,0

2021.06.15kedd,25.2,14.4,3.5,0

2021.06.16szerda,28,17.5,3.4,0

2021.06.17csütörtök,29.5,19.5,3.6,0

2021.06.18péntek,30.4,19.7,3.4,0

2021.06.19szombat,32.2,21.5,3.3,1.7

2021.06.20vasárnap,31.3,20.3,2,2

2021.06.21hétfő,33.3,21.7,4.9,0.3

2021.06.22kedd,33.1,21.5,4,0.7

2021.06.23szerda,34.8,23.8,3.8,0

2021.06.24csütörtök,35.5,24.2,4,0

2021.06.25péntek,29.7,20,4.8,0.6

2021.06.26szombat,29.7,19.1,3.8,0

2021.06.27vasárnap,30,20.3,2.6,0

2021.06.28hétfő,32.9,21.2,5,0.1

2021.06.29kedd,34.3,20.3,4.8,0

2021.06.30szerda,30.1,20.3,4.8,0
